name,closed,lat,lng,city,state,country,url
Banff Sunshine,false,0.5107861e2,-0.11578222e3,Twin Cairns Meadow Park Trail,Alberta,Canada,http://www.skibanff.com/
Canmore Nordic Centre Provincial Park,false,0.510925e2,-0.11539e3,Olympic,Alberta,Canada,
Canyon Ski Area,false,0.52307389e2,-0.113685472e3,Red Deer County,Alberta,Canada,http://www.canyonski.ca/
Castle Mountain Resort,false,0.4931694e2,-0.11443028e3,Area A (Upper Flathead/Elk Valley),Alberta,Canada,http://www.skicastle.ca
Edmonton Ski Club,false,0.5353361e2,-0.11347528e3,Edmonton,Alberta,Canada,http://www.edmontonskiclub.com/
Fairview Ski Hill,false,0.5599556e2,-0.11860556e3,Fairview Ski Hill,Alberta,Canada,https://www.skifairview.com
Fortress Mountain Resort,false,0.5082778e2,-0.11520167e3,Fortress Ridge Trail,Alberta,Canada,
Lake Louise Ski Resort,false,0.5144194e2,-0.11616056e3,Whitehorn Road,Alberta,Canada,http://www.skilouise.com
Marmot Basin,false,0.5280111e2,-0.11808444e3,Marmot Road,Alberta,Canada,http://www.skimarmot.com/
Mt Norquay,false,0.51204e2,-0.115599e3,Mount Norquay Route,Alberta,Canada,http://www.banffnorquay.com/
Nakiska,false,0.50944e2,-0.115147e3,Division No. 15,Alberta,Canada,http://www.skinakiska.com/
Rabbit Hill Snow Resort,false,0.5338e2,-0.113671e3,Edmonton,Alberta,Canada,http://www.rabbithill.com
Silver Summit,false,0.5389389e2,-0.11656889e3,Division No. 14,Alberta,Canada,http://www.silversummit.ca/
Snow Valley Ski Club,false,0.5348417e2,-0.11355556e3,Edmonton,Alberta,Canada,http://www.snowvalley.ca/
Sunridge Ski Area,false,0.5356417e2,-0.11337056e3,Sherwood Park,Alberta,Canada,https://www.sunridgeskiarea.com/
Apex Mountain Resort,false,0.4939e2,-0.1199e3,Area I (Skaha West/Kaleden/Apex),British Columbia,Canada,https://apexresort.com/
Bear Mountain Ski Hill,false,0.557315e2,-0.12044616e3,Area D (Kiskatinaw Valley),British Columbia,Canada,
Big White Ski Resort,false,0.4972194e2,-0.11892889e3,Area E (Beaverdell/West Boundary),British Columbia,Canada,https://www.bigwhite.com/geo/on
Crystal Mountain,false,0.498813417e2,-0.1197112056e3,West Central Okanagan Electoral Area,British Columbia,Canada,
Cypress Mountain Ski Area,false,0.4939556e2,-0.12320333e3,West Vancouver,British Columbia,Canada,https://cypressmountain.com/
Fairmont Hot Springs,false,0.50317e2,-0.115867e3,Area F (Columbia Lake/Windermere Lake),British Columbia,Canada,
Fernie Alpine Resort,false,0.494625e2,-0.11508694e3,Area A (Upper Flathead/Elk Valley),British Columbia,Canada,https://skifernie.com/
Forbidden Plateau,false,0.4968333e2,-0.12531667e3,Area C (Puntledge/Black Creek),British Columbia,Canada,http://www.env.gov.bc.ca/bcparks/explore/parkpgs/strath/forbid.html
Grouse Mountain,false,0.493795556e2,-0.1230818028e3,Grouse Mountain Highway,British Columbia,Canada,https://www.grousemountain.com/
Harper Mountain,false,0.5072111e2,-0.12013222e3,Area P (Rivers and the Peaks),British Columbia,Canada,http://www.harpermountain.com
Hart Highlands Ski Hill,false,0.5398333e2,-0.12279222e3,Prince George,British Columbia,Canada,
Hudson Bay Mountain,false,0.5481167e2,-0.12733972e3,Area A (Hudson Bay Mountain),British Columbia,Canada,
Jumbo Glacier,false,0.5040833e2,-0.11656667e3,Jumbo Glacier Mountain Resort Municipality,British Columbia,Canada,http://www.jgmrm.ca/
Kicking Horse Resort,false,0.5128917e2,-0.11705861e3,Area A (Kicking Horse/Kinbasket Lake),British Columbia,Canada,http://www.kickinghorseresort.com/
Kimberley Alpine Resort,false,0.49685e2,-0.116014e3,Kimberley,British Columbia,Canada,https://skikimberley.com/
Little Mac Ski Hill,false,0.5533944e2,-0.12307639e3,Little Mac X-Country Ski Trail,British Columbia,Canada,
E. C. Manning Provincial Park,false,0.4906667e2,-0.12078333e3,Area H (Manning Park/Tulameen/Siwash),British Columbia,Canada,https://bcparks.ca/explore/parkpgs/ecmanning/
Mount Baldy Ski Area,false,0.4915389e2,-0.11923944e3,Area E (Beaverdell/West Boundary),British Columbia,Canada,https://baldyresort.com/
Mount Cain,false,0.50228611e2,-0.126326111e3,Area D (Nimpkish Valley/Cormorant Island),British Columbia,Canada,
Mount Seymour,false,0.4939333e2,-0.12294444e3,Mount Seymour Trail,British Columbia,Canada,http://www.mountseymour.com/
Mount Timothy Ski Area,false,0.5191556e2,-0.12125361e3,Area G (Lac La Hache/108 Mile Ranch),British Columbia,Canada,
Mount Washington Alpine Resort,false,0.4973833e2,-0.12529861e3,Area C (Puntledge/Black Creek),British Columbia,Canada,https://www.mountwashington.ca/
Murray Ridge Ski Area,false,0.5451806e2,-0.12421167e3,Area C (Stuart Lake/Omineca Valley),British Columbia,Canada,
Panorama Mountain Resort,false,0.5046028e2,-0.11623833e3,Area F (Columbia Lake/Windermere Lake),British Columbia,Canada,http://www.panoramaresort.com/
Phoenix Mountain Ski Resort,false,0.4910889e2,-0.11858611e3,Area D (Granby Valley),British Columbia,Canada,http://www.skiphoenix.com
Powder King Mountain Resort,false,0.5536306e2,-0.12262472e3,Area G (Crooked River/Parsnip),British Columbia,Canada,https://www.powderking.com/
Purden Ski Village,false,0.5390083e2,-0.12188611e3,Area F (Willow River/Upper Fraser),British Columbia,Canada,
Red Mountain Resort,false,0.4910278e2,-0.11782028e3,The Josie Hotel,British Columbia,Canada,http://www.redresort.com
Revelstoke Mountain Resort,false,0.5095417e2,-0.11815417e3,Revelstoke,British Columbia,Canada,http://www.revelstokemountainresort.com
Salmo Ski Area,false,0.491815e2,-0.1173015e3,Area G (Salmo Valley),British Columbia,Canada,
