name,closed,lat,lng,city,state,country,url
Pukë,false,0.4205e2,0.199e2,Rrape,Northern Albania,Albania,https://bashkiapuke.gov.al/
Soldeu,false,0.4257694e2,0.166722e1,Soldeu,Canillo,Andorra,
Dardhë,false,0.4051861e2,0.2082694e2,Dardhë,Southern Albania,Albania,
El Tarter,false,0.42583e2,0.165e1,Ransol,Canillo,Andorra,
Grau Roig,false,0.42533e2,0.1701e1,Grau Roig,,Andorra,
El Pas de la Casa,false,0.425423361e2,0.17338278e1,Pas de la Casa,,Andorra,
Vallnord,false,0.425427806e2,0.1492425e1,Xixerella,,Andorra,http://www.vallnord.com
Vallnord,false,0.425427806e2,0.1492425e1,Xixerella,,Andorra,http://www.vallnord.com
Vallnord,false,0.425427806e2,0.1492425e1,Xixerella,,Andorra,http://www.vallnord.com
Ashotsk,false,0.410375e2,0.4385806e2,Ashotsk,Shirak Province,Armenia,
Jermuk,false,0.3984167e2,0.4567222e2,Shahumyan street,Vayots Dzor Province,Armenia,http://jermuk.am/
Lernanist,false,0.404675e2,0.4479806e2,Lernanist,Kotayk Province,Armenia,
Tsaghkadzor ski resort,false,0.405294806e2,0.447043194e2,Khachik Muradyan street,Kotayk Province,Armenia,http://www.winterarmenia.com/skiinfo.php#mountain
Heiligenblut am Großglockner,false,0.4704139e2,0.1283694e2,Heiligenblut am Großglockner,Carinthia,Austria,
Arnoldstein,false,0.4655e2,0.137e2,Gailitz,Carinthia,Austria,
Koralpe,false,0.468e2,0.14983e2,Schutzhausabfahrt,Carinthia,Austria,
Katschberg Pass,false,0.4705917e2,0.1361556e2,Sankt Michael im Lungau,Salzburg,Austria,
Nassfeld,false,0.465758e2,0.132619e2,Hermagor-Pressegger See,Carinthia,Austria,http://www.nassfeld.at
Petzen,false,0.465e2,0.14783e2,Črna na Koroškem,,Slovenia,
Petzen,false,0.465e2,0.14783e2,Črna na Koroškem,,Slovenia,
Annaberg,false,0.47867e2,0.15383e2,Gemeinde Annaberg,Lower Austria,Austria,
Hochkar,false,0.47717e2,0.149e2,Gemeinde Göstling an der Ybbs,Lower Austria,Austria,http://www.hochkar.com/
Mönichkirchen,false,0.475e2,0.16033e2,Schaueregg,Styria,Austria,
Ötscher,false,0.4785583e2,0.1520278e2,Gemeinde Mitterbach am Erlaufsee,Lower Austria,Austria,
Semmering,false,0.4764694e2,0.1583e2,Gemeinde Semmering,Lower Austria,Austria,
Annaberg-Lungötz,false,0.4751667e2,0.1341667e2,Annaberg-Lungötz,Salzburg,Austria,
Annaberg-Lungötz,false,0.4751667e2,0.1341667e2,Annaberg-Lungötz,Salzburg,Austria,
Bad Gastein,false,0.471e2,0.1301667e2,Bezirk Zell am See,Salzburg,Austria,
Dorfgastein,false,0.472425e2,0.1326667e2,Ellmau,Salzburg,Austria,
Hochkönig,false,0.47420806e2,0.13063167e2,Franz Schweitzer Weg,Salzburg,Austria,http://www.hochkoenig.at
Tamsweg District,false,0.47117e2,0.13817e2,Bezirk Tamsweg,Salzburg,Austria,
Obertauern,false,0.472505e2,0.135552e2,Obertauern,Salzburg,Austria,
Rauris,false,0.4722917e2,0.1299444e2,Rauris,Salzburg,Austria,
Saalbach-Hinterglemm,false,0.473904e2,0.12637e2,Saalbach-Hinterglemm,Salzburg,Austria,
Flachau,false,0.4734278e2,0.1339222e2,Wastlgasse,Salzburg,Austria,
Zell am See,false,0.47317e2,0.128e2,Zeller Seezauber,Salzburg,Austria,
Hoher Dachstein,false,0.4747528e2,0.1360639e2,Ramsau am Dachstein,Styria,Austria,
Haus im Ennstal,false,0.474075e2,0.1376694e2,Haus im Ennstal,Styria,Austria,
Hohentauern,false,0.4743417e2,0.1448361e2,Hohentauern,Styria,Austria,
Kreischberg,false,0.470664e2,0.140417e2,Stadl-Predlitz,Styria,Austria,
Präbichl,false,0.47517e2,0.14933e2,Vordernberg,Styria,Austria,
Langenwang,false,0.475675e2,0.1561917e2,Pichlwang,Styria,Austria,
Semmering,false,0.4764694e2,0.1583e2,Gemeinde Semmering,Lower Austria,Austria,
Schladming,false,0.4739417e2,0.1368917e2,Erzherzog-Johann-Straße,Styria,Austria,
Schöckl,false,0.4720111e2,0.1547556e2,St. Radegund,Styria,Austria,
Stuhleck,false,0.47567e2,0.15783e2,Gemeinde Rettenegg,Styria,Austria,
Tauplitz,false,0.4761667e2,0.14e2,Bad Mitterndorf,Styria,Austria,
Alpbach,false,0.473985333e2,0.119439056e2,Alpbach,Bezirk Kufstein,Austria,
Axamer Lizum,false,0.4719583e2,0.1130139e2,Axams,,Austria,
Ischgl,false,0.4701306e2,0.1028806e2,Ischgl,Tyrol,Austria,
Innsbruck,false,0.4726833e2,0.1139333e2,Innsbruck,Tyrol,Austria,
Kaunertal,false,0.4703333e2,0.1075e2,Feichten,Tyrol,Austria,
Lienz,false,0.4682972e2,0.1276972e2,Patriasdorf,,Austria,
Mayrhofen,false,0.47167e2,0.11867e2,Sportplatzstraße,,Austria,
Kitzbühel,false,0.4744639e2,0.1239194e2,Gerbergasse,,Austria,
Ötztal,false,0.4713694e2,0.1092722e2,Umhausen,,Austria,
Pitztal,false,0.4709528e2,0.1082e2,Sankt Leonhard im Pitztal,,Austria,
St Anton am Arlberg,false,0.47117e2,0.10267e2,Sankt Jakob am Arlberg,Tyrol,Austria,
Sankt Jakob in Defereggen,false,0.4691667e2,0.1231667e2,Sankt Jakob in Defereggen,,Austria,
Seefeld in Tirol,false,0.4732944e2,0.1118917e2,Seefeld in Tirol,Tyrol,Austria,
St. Johann in Tirol,false,0.475225e2,0.1242556e2,Kaiserstraße,,Austria,https://www.st.johann.tirol
Stubaital,false,0.471667e2,0.113167e2,Telfes im Stubai,,Austria,
Wildschönau,false,0.4745e2,0.1205e2,Wildschönau,Bezirk Kufstein,Austria,
Gosau,false,0.4758333e2,0.1353333e2,Gosau,,Austria,
Zillertal,false,0.47333e2,0.11867e2,Hart im Zillertal,,Austria,
Gosau,false,0.4758333e2,0.1353333e2,Gosau,,Austria,
Hinterstoder,false,0.4769639e2,0.1414944e2,Hinterstoder,,Austria,
Grünau im Almtal,false,0.4785278e2,0.1395556e2,Grünau im Almtal,,Austria,
Hochficht,false,0.4873639e2,0.1392111e2,Ulrichsberg,Upper Austria,Austria,
Loser,false,0.47667e2,0.13767e2,Altaussee,Styria,Austria,
Brandnertal,false,0.4712167e2,0.976667e1,Gemeinde Bürs,Vorarlberg,Austria,
Bregenz Forest,false,0.4726556e2,0.988e1,Gemeinde Damüls,Vorarlberg,Austria,
Kleinwalsertal,false,0.4734278e2,0.101675e2,Gemeinde Mittelberg,Vorarlberg,Austria,
Silvretta Montafon,false,0.469809e2,0.99658e1,Gemeinde Sankt Gallenkirch,Vorarlberg,Austria,https://www.silvretta-montafon.at/en
Schruns,false,0.4708028e2,0.991917e1,Marktgemeinde Schruns,Vorarlberg,Austria,
Qabala,false,0.4098139e2,0.4784583e2,28 may küçəsi döngə,Sheki-Zaqatala,Azerbaijan,
Qusar,false,0.4142639e2,0.4843556e2,Mahmud Əbilov küç.,Quba - Khachmaz,Azerbaijan,
Silichy,false,0.5414833e2,0.2783472e2,Lahojsk selsaviet,Minsk Region,Belarus,http://www.silichy.by/
Raǔbičy,false,0.5405889e2,0.277375e2,Astrashitskagaradokski rural council,Minsk Region,Belarus,https://rau.by/
Baraque de Fraiture,false,0.5025111e2,0.573194e1,Vielsalm,Luxembourg,Belgium,
High Fens,false,0.5054444e2,0.607778e1,Baelen,Liège,Belgium,
Mont des Brumes,false,0.5043417e2,0.590611e1,Moulin du Ruy,Liège,Belgium,http://www.montdesbrumes.be/
Ovifat,false,0.5046646e2,0.6107e1,Robertville,Liège,Belgium,
Bjelašnica,false,0.43704e2,0.18257e2,Lukavac,Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,
Igman,false,0.4374e2,0.1815e2,Mrtvanje,Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,
Kupres,false,0.4399056e2,0.1727944e2,Cesta sv. Ivana Pavla II.,Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,
Jahorina Ski Resort,false,0.4373667e2,0.1856639e2,Tower,Republika Srpska,Bosnia and Herzegovina,https://www.oc-jahorina.com/en/
Risovac,false,0.43677594e2,0.17577006e2,Ponor,Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,
Rujište,false,0.4343528e2,0.1797278e2,Ruište,Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,
Vlašić,false,0.44283333e2,0.17666667e2,Orlice,Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,
Bansko,false,0.41833e2,0.235e2,Tsar Simeon,Bansko,Bulgaria,http://www.bansko.bg/
Berkovitsa,false,0.43233e2,0.23117e2,Пейо Яворов,Berkovitsa,Bulgaria,
Bodrost,false,0.4204528e2,0.2333778e2,Blagoevgrad,Blagoevgrad,Bulgaria,
Borovets,false,0.4226444e2,0.2360694e2,Borovets,Samokov,Bulgaria,
Chepelare,false,0.4172583e2,0.2468444e2,86,Chepelare,Bulgaria,
Dobrinishte,false,0.4182111e2,0.2356222e2,Освобождение,Bansko,Bulgaria,
Govedartsi,false,0.4226278e2,0.2347806e2,Govedartsi,Samokov,Bulgaria,
Kom Peak,false,0.43167e2,0.2305e2,Sofia,Godech,Bulgaria,
Malyovitsa,false,0.421736361e2,0.23363083e2,х. Мальовица - Мальовишки езера,Samokov,Bulgaria,
Osogovo,false,0.4215833e2,0.2251667e2,Sasa,Eastern Region,North Macedonia,
