name,closed,lat,lng,city,state,country,url
Esashi,false,0.44933e2,0.142583e3,Esashi County,Hokkaido Prefecture,Japan,http://www.esashi.jp/
Nakatonbetsu,false,0.44967e2,0.142283e3,Esashi County,Hokkaido Prefecture,Japan,http://www.town.nakatombetsu.hokkaido.jp/
Saroma,false,0.4401611e2,0.14377944e3,Tokoro County,Hokkaido Prefecture,Japan,http://www.town.saroma.hokkaido.jp/
Sarufutsu,false,0.45333e2,0.142117e3,Sarufutsu,Hokkaido Prefecture,Japan,http://www.vill.sarufutsu.hokkaido.jp/
Toyotomi,false,0.451e2,0.141783e3,Teshio,Hokkaido Prefecture,Japan,http://www.town.toyotomi.hokkaido.jp/
Wakkanai,false,0.45415667e2,0.14167306e3,Wakkanai,Hokkaido Prefecture,Japan,http://www.city.wakkanai.hokkaido.jp/
Daisetsuzan National Park,false,0.43660278e2,0.142858056e3,False Kinko-iwa Rock,Hokkaido Prefecture,Japan,
Kenbuchi,false,0.441e2,0.142367e3,Kamikawa County,Hokkaido Prefecture,Japan,http://www.town.kembuchi.hokkaido.jp/
Tōma,false,0.43833e2,0.1425e3,Kamikawa County,Hokkaido Prefecture,Japan,http://www.town.tohma.hokkaido.jp/
Horonobe,false,0.45017e2,0.14185e3,Teshio,Hokkaido Prefecture,Japan,http://www.town.horonobe.hokkaido.jp/
Mashike,false,0.4385e2,0.141533e3,National Highway Route 231,Hokkaido Prefecture,Japan,http://www.town.mashike.hokkaido.jp/
Teshio,false,0.44883e2,0.14175e3,円山天塩停車場線,Hokkaido Prefecture,Japan,http://www.teshiotown.hokkaido.jp/
Obira,false,0.44017e2,0.141667e3,Rumoi County,Hokkaido Prefecture,Japan,http://www.town.obira.hokkaido.jp/
Kamiyūbetsu,false,0.4415e2,0.143567e3,Monbetsu County,Hokkaido Prefecture,Japan,
Kitami,false,0.4380306e2,0.14389472e3,Kitami,Hokkaido Prefecture,Japan,http://www.city.kitami.lg.jp/
Kiyosato,false,0.43833e2,0.1446e3,16 go Road,Hokkaido Prefecture,Japan,http://www.town.kiyosato.hokkaido.jp/
Monbetsu,false,0.4435e2,0.14335e3,Mombetsu,Hokkaido Prefecture,Japan,http://mombetsu.jp/
Oketo,false,0.43683e2,0.143583e3,National Highway Route 242,Hokkaido Prefecture,Japan,http://www.town.oketo.hokkaido.jp/
Takinoue,false,0.442e2,0.143083e3,上渚滑原野滝上線,Hokkaido Prefecture,Japan,http://www.town.takinoue.hokkaido.jp/
Okoppe,false,0.44467e2,0.143117e3,Monbetsu County,Hokkaido Prefecture,Japan,http://www.town.okoppe.lg.jp/
Rausu,false,0.44017e2,0.145183e3,Menashi County,Hokkaido Prefecture,Japan,http://www.rausu-town.jp/
Chūrui,false,0.42567e2,0.1433e3,Nakagawa County,Hokkaido Prefecture,Japan,https://web.archive.org/web/20060206170823/http://www.vill.churui.hokkaido.jp/
Iwamizawa,false,0.432e2,0.141783e3,Iwamizawa,Hokkaido Prefecture,Japan,http://www.city.iwamizawa.hokkaido.jp/
Numata,false,0.438e2,0.141933e3,Uryu County,Hokkaido Prefecture,Japan,http://www.town.numata.hokkaido.jp/
Shintotsukawa,false,0.4355e2,0.141883e3,Kabato County,Hokkaido Prefecture,Japan,http://www.town.shintotsukawa.lg.jp/
Tsukigata,false,0.43333e2,0.141667e3,National Highway Route 275,Hokkaido Prefecture,Japan,http://www.town.tsukigata.hokkaido.jp/
Eniwa,false,0.42883e2,0.141583e3,Eniwa,Hokkaido Prefecture,Japan,http://www.city.eniwa.hokkaido.jp/
Atsuta,false,0.434e2,0.141433e3,Ishikari,Hokkaido Prefecture,Japan,https://web.archive.org/web/20050403160838/http://www.vill.atsuta.hokkaido.jp/
Hamamasu,false,0.436e2,0.141383e3,Ishikari,Hokkaido Prefecture,Japan,https://web.archive.org/web/20050702022721/http://www.vill.hamamasu.hokkaido.jp/index2.html
Kutchan,false,0.429e2,0.140767e3,Abuta County,Hokkaido Prefecture,Japan,http://www.town.kutchan.hokkaido.jp/
Niseko Mt. Resort Grand Hirafu,false,0.42863458e2,0.140698059e3,Skye Niseko,Hokkaido Prefecture,Japan,http://www.grand-hirafu.jp/winter/en/index.html
Niki,false,0.4315e2,0.140767e3,Yoichi County,Hokkaido Prefecture,Japan,http://www.town.niki.hokkaido.jp/
Rankoshi,false,0.42817e2,0.140533e3,Isoya County,Hokkaido Prefecture,Japan,http://www.town.rankoshi.hokkaido.jp/
Rusutsu Resort,false,0.4274968e2,0.14090329e3,Rusutsu,Hokkaido Prefecture,Japan,http://www.rusutsu.co.jp/
Shakotan,false,0.433e2,0.1406e3,Shakotan County,Hokkaido Prefecture,Japan,http://www.town.shakotan.hokkaido.jp/
Imakane,false,0.42417e2,0.140017e3,Imakane Kita-hiyama Line,Hokkaido Prefecture,Japan,http://www.town.imakane.lg.jp/
Shichinohe,false,0.407446944e2,0.141157944e3,National Highway Route 4,Aomori Prefecture,Japan,http://www.town.shichinohe.lg.jp/
Lake Towada,false,0.40467e2,0.140867e3,Kazuno County,Akita Prefecture,Japan,
Mount Zaō,false,0.38144e2,0.14044e3,Kaminoyama,Yamagata Prefecture,Japan,
Appi Kogen Ski Resort,false,0.40002e2,0.14097e3,Hachimantai,Iwate Prefecture,Japan,http://www.appi.co.jp/foreign_country/english/
Lake Tazawa,false,0.39725e2,0.14066139e3,Semboku,Akita Prefecture,Japan,
Mount Chōkai,false,0.3909917e2,0.14004889e3,千蛇谷コース,Yamagata Prefecture,Japan,
Mount Gassan,false,0.3854889e2,0.14002694e3,月山志津線,Yamagata Prefecture,Japan,
Yamagata Zao Onsen Ski Resort,false,0.3816725e2,0.140394194e3,Yamagata,Yamagata Prefecture,Japan,http://www.zao-ski.or.jp/index.html
Lake Inawashiro,false,0.3747472e2,0.14009361e3,Aizuwakamatsu,Fukushima Prefecture,Japan,
Mount Tanigawa,false,0.3683722e2,0.13892972e3,Gunma Ridge Trail,Gunma Prefecture,Japan,
Mount Akagi,false,0.3655722e2,0.13919639e3,Numata,Gunma Prefecture,Japan,
Mount Naeba,false,0.3684583e2,0.13869028e3,大赤沢新道,Niigata Prefecture,Japan,
Naeba Ski Resort,false,0.36791e2,0.138785e3,苗場プリンスホテル2号館,Niigata Prefecture,Japan,http://www.princehotels.co.jp/ski/naeba-e/index.html
Myōkō,false,0.37025194e2,0.138253528e3,Myoko,Niigata Prefecture,Japan,http://www.city.myoko.niigata.jp/
Tōkamachi,false,0.3713333e2,0.13875e3,Tokamachi,Niigata Prefecture,Japan,http://www.city.tokamachi.lg.jp/
Nagaoka,false,0.37446194e2,0.13885125e3,Nagaoka,Niigata Prefecture,Japan,http://www.city.nagaoka.niigata.jp
Uonuma,false,0.37230111e2,0.138961472e3,Uonuma,Niigata Prefecture,Japan,http://www.city.uonuma.niigata.jp/
Mount Tate,false,0.3657583e2,0.13761972e3,大汝山,Toyama Prefecture,Japan,
Wajima,false,0.3739056e2,0.13689917e3,Wajima,Ishikawa Prefecture,Japan,http://www.city.wajima.ishikawa.jp/
Hakuba Happoone Winter Resort,false,0.36702077e2,0.137837133e3,Hakuba,Nagano Prefecture,Japan,http://www.happo-one.jp/english/
Iizuna Kogen Ski Area,false,0.3671706e2,0.138139923e3,Nagano,Nagano Prefecture,Japan,http://www.iizuna-kougen.com/
Nozawa Onsen Snow Resort,false,0.36920031e2,0.138451976e3,Nozawaonsen,Nagano Prefecture,Japan,http://www.nozawaski.com/en/
