name,closed,lat,lng,city,state,country,url
Mohawk Mountain Ski Area,false,0.4183675e2,-0.7331342e2,Great Hollow Road,Connecticut,United States,http://www.mohawkmtn.com/
Mount Southington,false,0.4158235e2,-0.7292587e2,Mount Southington,Connecticut,United States,http://www.mountsouthington.com
Powder Ridge Ski Area,false,0.41502006e2,-0.72737172e2,Powder Hill Road,Connecticut,United States,http://powderridgepark.com/
Ski Sundown,false,0.4188407e2,-0.7294523e2,Ski Sundown,Connecticut,United States,http://www.skisundown.com/
Baker Mountain,false,0.4508472e2,-0.6990556e2,Baker Mountain Ski Area,Maine,United States,
Big Rock,false,0.4652222e2,-0.6782778e2,Bigrock Mountain,Maine,United States,http://www.bigrockmaine.com/
Big Squaw Mountain Resort,false,0.4550417e2,-0.6970556e2,Big Squaw Mountain Ski Resort,Maine,United States,
Black Mountain of Maine,false,0.4458e2,-0.706175e2,Black Mountain,Maine,United States,http://www.skiblackmountain.org
Camden Snow Bowl,false,0.44217216e2,-0.69134667e2,Sidecoundtry Sports,Maine,United States,http://www.camdensnowbowl.com/
Eaton Mountain,false,0.4476806e2,-0.6961944e2,Eaton Mountain,Maine,United States,
Lonesome Pine Trails,false,0.4723278e2,-0.6859306e2,Fort Kent Mills,Maine,United States,
Lost Valley Ski Area,false,0.44136e2,-0.70281e2,Auburn,Maine,United States,http://www.lostvalleyski.com/index.html
Ski Mount Abram,false,0.4437917e2,-0.7070694e2,Mt. Abram,Maine,United States,http://www.mtabram.com
Pleasant Mountain Ski Area,false,0.4405833e2,-0.7081528e2,Base Lodge,Maine,United States,http://www.pleasantmountain.com
Powderhouse Hill,false,0.4323694e2,-0.7080222e2,Agamenticus Road,Maine,United States,http://www.powderhousehill.com/
Saddleback Maine,false,0.4493667e2,-0.7050306e2,Madrid Township,Maine,United States,http://www.saddlebackmaine.com
Sugarloaf,false,0.4503139e2,-0.7031306e2,Carrabassett Valley,Maine,United States,http://www.sugarloaf.com/
Sunday River,false,0.444734e2,-0.708569e2,South Ridge Base Lodge,Maine,United States,http://www.sundayriver.com/
Titcomb Mountain,false,0.4465e2,-0.7017083e2,Titcomb Mountain Ski Area,Maine,United States,http://www.titcombmountain.com/
Berkshire East Ski Resort,false,0.4262083e2,-0.7287694e2,Main Lodge,Massachusetts,United States,http://www.berkshireeast.com/
Blue Hills Ski Area,false,0.4221528e2,-0.7111917e2,Blue Hills Ski Area,Massachusetts,United States,https://www.bluehillsboston.com/
Bousquet Mountain,false,0.424171e2,-0.732788e2,Pittsfield,Massachusetts,United States,https://bousquetmountain.com/
Ski Butternut,false,0.4217806e2,-0.7331694e2,Lower Lodge,Massachusetts,United States,http://www.skibutternut.com
Easton Ski Area,false,0.425387e2,-0.725938e2,Pine Nook Road,Massachusetts,United States,http://www.eaglebrook.org/
Jiminy Peak,false,0.4255083e2,-0.7329083e2,D,Massachusetts,United States,http://jiminypeak.com/
Nashoba Valley Ski Area,false,0.42541975e2,-0.714441028e2,Nashoba Ski Area Road,Massachusetts,United States,http://www.skinashoba.com/
Otis Ridge,false,0.421964e2,-0.730988e2,Monterey Road,Massachusetts,United States,https://otisridge.com/
Ski Bradford,false,0.4274361e2,-0.7105889e2,Haverhill,Massachusetts,United States,http://skibradford.com/
Ski Ward,false,0.4230556e2,-0.71675e2,West Main Street,Massachusetts,United States,http://www.skiward.com/
Wachusett Mountain,false,0.4249944e2,-0.7188639e2,Balance Rock Road,Massachusetts,United States,http://www.wachusett.com
Arrowhead Recreation Area,false,0.4336278e2,-0.7233333e2,Claremont,New Hampshire,United States,http://www.arrowheadnh.com
Attitash Mountain Resort,false,0.4408222e2,-0.7122972e2,Bartlett,New Hampshire,United States,http://www.attitash.com
Black Mountain Ski Area,false,0.4416833e2,-0.7116444e2,Jackson,New Hampshire,United States,http://www.blackmt.com/
Bretton Woods Mountain Resort,false,0.4425972e2,-0.7146222e2,Carroll,New Hampshire,United States,http://brettonwoods.com
Cannon Mountain Ski Area,false,0.4415778e2,-0.7169889e2,Franconia,New Hampshire,United States,http://www.cannonmt.com
Cranmore Mountain Resort,false,0.4405639e2,-0.7111e2,Tickets,New Hampshire,United States,http://www.cranmore.com/
Crotched Mountain,false,0.4299829411e2,-0.718737123e2,Francestown,New Hampshire,United States,
Dartmouth Skiway,false,0.4378667e2,-0.7243389e2,Sharon,Vermont,United States,http://skiway.dartmouth.edu
Granite Gorge Ski Area,false,0.4297083e2,-0.7221222e2,Roxbury,New Hampshire,United States,http://granitegorge.com
Gunstock Mountain Resort,false,0.4354139e2,-0.713675e2,Gilford,New Hampshire,United States,http://www.gunstock.com
King Pine,false,0.4387139e2,-0.7108944e2,Eaton,New Hampshire,United States,http://www.kingpine.com/
Loon Mountain,false,0.4403597e2,-0.7162144e2,Lincoln,New Hampshire,United States,
McIntyre Ski Area,false,0.43005e2,-0.7144e2,Manchester,New Hampshire,United States,http://www.mcintyreskiarea.com
Mount Sunapee Resort,false,0.4333056e2,-0.7208e2,Newbury,New Hampshire,United States,http://www.mountsunapee.com
Pats Peak,false,0.4316333e2,-0.7179583e2,Henniker,New Hampshire,United States,http://www.patspeak.com
Ragged Mountain Resort,false,0.4348444e2,-0.7184222e2,Danbury,New Hampshire,United States,http://www.raggedmountainresort.com/
Tenney Mountain Ski Resort,false,0.4373778e2,-0.7178361e2,Groton,New Hampshire,United States,http://www.skitenney.com
The Balsams Grand Resort Hotel,false,0.4487056e2,-0.7130778e2,Spur Road,New Hampshire,United States,
Waterville Valley Resort,false,0.4396528e2,-0.7152778e2,Waterville Valley,New Hampshire,United States,http://www.waterville.com
Whaleback,false,0.4360139e2,-0.7218139e2,Enfield,New Hampshire,United States,http://www.whaleback.com/
Wildcat Mountain Ski Area,false,0.4426306e2,-0.7123833e2,Bobcat Lodge,New Hampshire,United States,http://www.skiwildcat.com
Yawgoo Valley,false,0.4151694e2,-0.7152944e2,Yawgoo Valley Road,Rhode Island,United States,http://www.yawgoo.com
Brownsville,false,0.4346861e2,-0.7247083e2,West Windsor,Vermont,United States,http://www.westwindsorvt.govoffice2.com
Bellows Falls,false,0.4313333e2,-0.7244389e2,Rockingham,Vermont,United States,https://www.rockinghamvt.org/
Bolton Valley,false,0.44419621e2,-0.72849998e2,Bolton,Vermont,United States,http://www.boltonvalley.com/
Bromley Mountain,false,0.4322778e2,-0.7293861e2,Peru,Vermont,United States,
Burke Mountain,false,0.4457083e2,-0.7189317e2,Burke,Vermont,United States,
Skiing Cochrans,false,0.44396e2,-0.72982e2,Richmond,Vermont,United States,
Strafford,false,0.4386583e2,-0.7237722e2,Strafford,Vermont,United States,
St. Albans,false,0.4481028e2,-0.7315222e2,Saint Albans,Vermont,United States,http://www.stalbanstown.com
Haystack Mountain Ski Area,false,0.429226028e2,-0.728945694e2,Wilmington,Vermont,United States,http://www.hermitageclub.com/
Jay Peak Resort,false,0.4492944e2,-0.7253222e2,Jay,Vermont,United States,http://www.jaypeakresort.com/
Killington Ski Resort,false,0.43626e2,-0.72798e2,Killington,Vermont,United States,http://www.killington.com/
Brattleboro,false,0.4285e2,-0.7258222e2,Williams Street,Vermont,United States,
Lyndon,false,0.4453583e2,-0.7200528e2,Lyndonville,Vermont,United States,http://www.lyndonvt.org
Mad River Glen,false,0.4420083e2,-0.7292444e2,Fayston,Vermont,United States,http://www.madriverglen.com
Magic Mountain Ski Area,false,0.4319278e2,-0.7276e2,Londonderry,Vermont,United States,http://www.magicmtn.com
Middlebury College Snow Bowl,false,0.4394e2,-0.7296e2,Hancock,Vermont,United States,
