name,closed,lat,lng,city,state,url,forecast_url
Mohawk Mountain Ski Area,true,41.83675,-73.31342,,Connecticut,http://www.mohawkmtn.com/,"https://api.weather.gov/gridpoints/ALY/79,23/forecast"
Mount Southington,false,41.58235,-72.92587,Mount Southington,Connecticut,http://www.mountsouthington.com,"https://api.weather.gov/gridpoints/BOX/15,44/forecast"
Powder Ridge Ski Area,false,41.502006,-72.737172,,Connecticut,http://powderridgepark.com/,"https://api.weather.gov/gridpoints/OKX/70,76/forecast"
Ski Sundown,false,41.88407,-72.94523,Ski Sundown,Connecticut,http://www.skisundown.com/,"https://api.weather.gov/gridpoints/ALY/91,28/forecast"
Baker Mountain,false,45.08472,-69.90556,Baker Mountain Ski Area,Maine,,"https://api.weather.gov/gridpoints/GYX/75,125/forecast"
Big Rock,false,46.52222,-67.82778,Bigrock Mountain,Maine,http://www.bigrockmaine.com/,"https://api.weather.gov/gridpoints/CAR/87,148/forecast"
Big Squaw Mountain Resort,false,45.50417,-69.70556,Big Squaw Mountain Ski Resort,Maine,,"https://api.weather.gov/gridpoints/CAR/36,89/forecast"
Black Mountain of Maine,false,44.58,-70.6175,Black Mountain,Maine,http://www.skiblackmountain.org,"https://api.weather.gov/gridpoints/GYX/56,98/forecast"
Camden Snow Bowl,false,44.217216,-69.134667,Sidecoundtry Sports,Maine,http://www.camdensnowbowl.com/,"https://api.weather.gov/gridpoints/GYX/107,90/forecast"
Eaton Mountain,false,44.76806,-69.61944,Eaton Mountain,Maine,,"https://api.weather.gov/gridpoints/GYX/87,112/forecast"
Lonesome Pine Trails,false,47.23278,-68.59306,Fort Kent Mills,Maine,,"https://api.weather.gov/gridpoints/CAR/56,176/forecast"
Lost Valley Ski Area,false,44.136,-70.281,Auburn,Maine,http://www.lostvalleyski.com/index.html,"https://api.weather.gov/gridpoints/GYX/71,79/forecast"
Ski Mount Abram,false,44.37917,-70.70694,Mt. Abram,Maine,http://www.mtabram.com/,"https://api.weather.gov/gridpoints/GYX/55,88/forecast"
Powderhouse Hill,false,43.23694,-70.80222,,Maine,http://www.powderhousehill.com/,"https://api.weather.gov/gridpoints/GYX/61,35/forecast"
Saddleback Maine,true,44.93667,-70.50306,Madrid Township,Maine,http://www.saddlebackmaine.com,"https://api.weather.gov/gridpoints/GYX/57,115/forecast"
Pleasant Mountain Ski Area,true,44.05833,-70.81528,Base Lodge,Maine,http://www.pleasantmountain.com,"https://api.weather.gov/gridpoints/GYX/54,73/forecast"
Sugarloaf,false,45.03139,-70.31306,Carrabassett Valley,Maine,http://www.sugarloaf.com/,"https://api.weather.gov/gridpoints/GYX/62,120/forecast"
Sunday River,false,44.4734,-70.8569,South Ridge Base Lodge,Maine,http://www.sundayriver.com/,"https://api.weather.gov/gridpoints/GYX/49,91/forecast"
Titcomb Mountain,false,44.65,-70.17083,Titcomb Mountain Ski Area,Maine,http://www.titcombmountain.com/,"https://api.weather.gov/gridpoints/GYX/70,104/forecast"
Berkshire East Ski Resort,false,42.62083,-72.87694,Main Lodge,Massachusetts,http://www.berkshireeast.com/,"https://api.weather.gov/gridpoints/BOX/9,91/forecast"
Blue Hills Ski Area,false,42.21528,-71.11917,Blue Hills Ski Area,Massachusetts,https://www.bluehillsboston.com/,"https://api.weather.gov/gridpoints/BOX/71,83/forecast"
Bousquet Mountain,true,42.4171,-73.2788,Pittsfield,Massachusetts,https://bousquetmountain.com/,"https://api.weather.gov/gridpoints/ALY/76,50/forecast"
Ski Butternut,true,42.17806,-73.31694,Lower Lodge,Massachusetts,http://www.skibutternut.com,"https://api.weather.gov/gridpoints/ALY/76,39/forecast"
Easton Ski Area,false,42.5387,-72.5938,,Massachusetts,http://www.eaglebrook.org/,"https://api.weather.gov/gridpoints/BOX/19,89/forecast"
Jiminy Peak,true,42.55083,-73.29083,,Massachusetts,http://jiminypeak.com/,"https://api.weather.gov/gridpoints/ALY/74,56/forecast"
Nashoba Valley Ski Area,false,42.541975,-71.4441028,,Massachusetts,http://www.skinashoba.com/,"https://api.weather.gov/gridpoints/BOX/57,96/forecast"
Otis Ridge,false,42.1964,-73.0988,,Massachusetts,https://otisridge.com/,"https://api.weather.gov/gridpoints/ALY/83,41/forecast"
Ski Bradford,true,42.74361,-71.05889,Haverhill,Massachusetts,http://skibradford.com/,"https://api.weather.gov/gridpoints/BOX/68,107/forecast"
Ski Ward,false,42.30556,-71.675,,Massachusetts,http://www.skiward.com/,"https://api.weather.gov/gridpoints/BOX/51,84/forecast"
Wachusett Mountain,false,42.49944,-71.88639,,Massachusetts,http://www.wachusett.com,"https://api.weather.gov/gridpoints/BOX/43,91/forecast"
Arrowhead Recreation Area,false,43.36278,-72.33333,Claremont,New Hampshire,http://www.arrowheadnh.com,"https://api.weather.gov/gridpoints/GYX/9,32/forecast"
Attitash Mountain Resort,false,44.08222,-71.22972,Bartlett,New Hampshire,http://www.attitash.com,"https://api.weather.gov/gridpoints/GYX/40,71/forecast"
Black Mountain Ski Area,true,44.16833,-71.16444,Jackson,New Hampshire,http://www.blackmt.com/,"https://api.weather.gov/gridpoints/GYX/41,76/forecast"
Bretton Woods Mountain Resort,false,44.25972,-71.46222,Carroll,New Hampshire,http://brettonwoods.com,"https://api.weather.gov/gridpoints/GYX/31,78/forecast"
Cannon Mountain Ski Area,true,44.15778,-71.69889,Franconia,New Hampshire,http://www.cannonmt.com,"https://api.weather.gov/gridpoints/GYX/24,72/forecast"
Cranmore Mountain Resort,false,44.05639,-71.11,Tickets,New Hampshire,http://www.cranmore.com/,"https://api.weather.gov/gridpoints/GYX/44,71/forecast"
Crotched Mountain,false,42.99829411,-71.8737123,Francestown,New Hampshire,,"https://api.weather.gov/gridpoints/GYX/27,18/forecast"
Dartmouth Skiway,false,43.78667,-72.43389,Sharon,Vermont,http://skiway.dartmouth.edu,"https://api.weather.gov/gridpoints/BTV/118,28/forecast"
Granite Gorge Ski Area,false,42.97083,-72.21222,Roxbury,New Hampshire,http://www.granitegorge.com/,"https://api.weather.gov/gridpoints/GYX/16,15/forecast"
Gunstock Mountain Resort,false,43.54139,-71.3675,Gilford,New Hampshire,http://www.gunstock.com,"https://api.weather.gov/gridpoints/GYX/40,46/forecast"
King Pine,false,43.87139,-71.08944,Eaton,New Hampshire,http://www.kingpine.com/,"https://api.weather.gov/gridpoints/GYX/46,63/forecast"
Loon Mountain,false,44.03597,-71.62144,Lincoln,New Hampshire,,"https://api.weather.gov/gridpoints/GYX/27,67/forecast"
